  SCF Step    1                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  0.0500     0.2804     0.0088                                                                      
  0.1000     0.2614     0.0328                                                                      
  0.1500     0.2372     0.0671                                                                      
  0.2000     0.2135     0.1073                                                                      
  0.2500     0.1926     0.1512                                                                      
  0.3000     0.1744     0.1972                                                                      
  0.3500     0.1581     0.2434                                                                      
  0.4000     0.1433     0.2881                                                                      
  0.4500     0.1297     0.3300                                                                      
  0.5000     0.1173     0.3684                                                                      
  0.5500     0.1060     0.4029                                                                      
  0.6000     0.0958     0.4335                                                                      
  0.6500     0.0867     0.4603                                                                      
  0.7000     0.0785     0.4832                                                                      
  0.7500     0.0710     0.5022                                                                      
  0.8000     0.0643     0.5174                                                                      
  0.8500     0.0583     0.5289                                                                      
  0.9000     0.0527     0.5368                                                                      
  0.9500     0.0477     0.5413                                                                      
  1.0000     0.0432     0.5427                                                                      
  1.0500     0.0391     0.5412                                                                      
  1.1000     0.0353     0.5372                                                                      
  1.1500     0.0320     0.5311                                                                      
  1.2000     0.0289     0.5230                                                                      
  1.2500     0.0261     0.5133                                                                      
  1.3000     0.0236     0.5022                                                                      
  1.3500     0.0214     0.4899                                                                      
  1.4000     0.0194     0.4767                                                                      
  1.4500     0.0175     0.4626                                                                      
  1.5000     0.0158     0.4480                                                                      
  1.5500     0.0143     0.4329                                                                      
  1.6000     0.0130     0.4174                                                                      
  1.6500     0.0117     0.4017                                                                      
  1.7000     0.0106     0.3858                                                                      
  1.7500     0.0096     0.3700                                                                      
  1.8000     0.0087     0.3541                                                                      
  1.8500     0.0079     0.3385                                                                      
  1.9000     0.0071     0.3230                                                                      
  1.9500     0.0064     0.3078                                                                      
  2.0000     0.0058     0.2930                                                                      
  2.0500     0.0053     0.2785                                                                      
  2.1000     0.0048     0.2644                                                                      
  2.1500     0.0043     0.2508                                                                      
  2.2000     0.0039     0.2376                                                                      
  2.2500     0.0035     0.2249                                                                      
  2.3000     0.0032     0.2127                                                                      
  2.3500     0.0029     0.2010                                                                      
  2.4000     0.0026     0.1898                                                                      
  2.4500     0.0024     0.1791                                                                      
  2.5000     0.0021     0.1688                                                                      
  2.5500     0.0019     0.1591                                                                      
  2.6000     0.0018     0.1497                                                                      
  2.6500     0.0016     0.1409                                                                      
  2.7000     0.0014     0.1324                                                                      
  2.7500     0.0013     0.1244                                                                      
  2.8000     0.0012     0.1168                                                                      
  2.8500     0.0011     0.1096                                                                      
  2.9000     0.0010     0.1027                                                                      
  2.9500     0.0009     0.0962                                                                      
  3.0000     0.0008     0.0901                                                                      
  3.0500     0.0007     0.0843                                                                      
  3.1000     0.0007     0.0788                                                                      
  3.1500     0.0006     0.0737                                                                      
  3.2000     0.0005     0.0688                                                                      
  3.2500     0.0005     0.0642                                                                      
  3.3000     0.0004     0.0599                                                                      
  3.3500     0.0004     0.0558                                                                      
